           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
          96            0            0            0            0  2.07431e-13  4.26326e-14  -1.7053e-13 -1.10134e-13   0.00108176 -0.000176492 -0.000176492   0.00105257
          97            0            0            0            0  4.36194e-13 -4.26326e-14 -3.99208e-13  -1.7053e-13   0.00107145 -0.000177451 -0.000106034   0.00105132
          98            0            0            0            0  4.49408e-13 -9.59233e-14 -4.24549e-13  -1.1191e-13   0.00106604 -0.000178043 -3.53765e-05   0.00105047
          99            0            0            0            0  5.03737e-13 -2.06057e-13 -4.52971e-13 -7.81597e-14   0.00106604 -0.000178043  3.53765e-05   0.00105047
         100            0            0            0            0  5.29314e-13 -2.41585e-13 -4.63185e-13 -8.52651e-14   0.00107145 -0.000177451  0.000106034   0.00105132
         101            0            0            0            0  3.04499e-13 -2.13163e-13 -2.16716e-13  1.77636e-14   0.00108176 -0.000176492  0.000176492   0.00105257
         102            0            0            0            0  2.32669e-13 -7.10543e-15 -2.20268e-13  -7.4607e-14  0.000944054 -0.000175337 -0.000175337  0.000910908
         103            0            0            0            0  4.75401e-13 -5.32907e-14   -4.583e-13 -1.14575e-13  0.000931956 -0.000176775 -0.000105404  0.000908946
         104            0            0            0            0  5.02257e-13 -1.49214e-13 -4.74287e-13 -7.10543e-14  0.000925534 -0.000177567 -3.51797e-05  0.000907659
         105            0            0            0            0  5.54391e-13 -2.41585e-13 -4.98934e-13 -7.10543e-15  0.000925534 -0.000177567  3.51797e-05  0.000907659
         106            0            0            0            0  5.98122e-13  -3.2685e-13 -4.99101e-13 -4.26326e-14  0.000931956 -0.000176775  0.000105404  0.000908946
         107            0            0            0            0  3.34974e-13 -2.02505e-13 -2.66454e-13 -1.42109e-14  0.000944054 -0.000175337  0.000175337  0.000910908
         108            0            0            0            0   2.3235e-13 -1.77636e-14 -2.27374e-13 -4.44089e-14  0.000808775 -0.000173456 -0.000173456  0.000770677
         109            0            0            0            0  4.89031e-13 -1.10134e-13 -4.60076e-13 -1.23901e-13  0.000794363 -0.000175532 -0.000104352  0.000767667
         110            0            0            0            0     5.29e-13  -1.7053e-13 -4.88498e-13 -1.10134e-13  0.000786652 -0.000176484 -3.48448e-05  0.000765808
         111            0            0            0            0  5.60506e-13  -2.4869e-13 -5.01058e-13 -3.55271e-14  0.000786652 -0.000176484  3.48448e-05  0.000765808
         112            0            0            0            0  6.18359e-13  -3.2685e-13 -5.23942e-13 -3.19744e-14  0.000794363 -0.000175532  0.000104352  0.000767667
         113            0            0            0            0  3.42634e-13 -2.13163e-13  -2.6823e-13 -3.55271e-15  0.000808775 -0.000173456  0.000173456  0.000770677
         114            0            0            0            0  2.13317e-13 -1.42109e-14 -2.12275e-13 -1.55431e-14  0.000677013 -0.000170427 -0.000170427  0.000632657
         115            0            0            0            0  4.64334e-13 -1.35003e-13 -4.39648e-13 -6.39488e-14  0.000659651 -0.000173269 -0.000102615  0.000628162
         116            0            0            0            0  5.05285e-13 -2.20268e-13 -4.54525e-13 -1.42109e-14   0.00065035  -0.00017422 -3.42801e-05  0.000625642
         117            0            0            0            0  5.23899e-13 -2.41585e-13 -4.64656e-13 -1.42109e-14   0.00065035  -0.00017422  3.42801e-05  0.000625642
         118            0            0            0            0  5.66474e-13 -2.98428e-13 -4.81282e-13  1.42109e-14  0.000659651 -0.000173269  0.000102615  0.000628162
         119            0            0            0            0  3.27871e-13 -1.95399e-13 -2.62901e-13 -1.42109e-14  0.000677013 -0.000170427  0.000170427  0.000632657
         120            0            0            0            0  1.88271e-13 -3.55271e-14 -1.83853e-13 -1.95399e-14  0.000550311 -0.000165583 -0.000165583  0.000498002
         121            0            0            0            0   4.0611e-13  -1.3145e-13 -3.83985e-13 -1.42109e-14  0.000529307 -0.000169148 -9.97565e-05  0.000491532
         122            0            0            0            0  4.27285e-13 -1.77636e-13 -3.85414e-13  -4.9738e-14  0.000518131 -0.000169759 -3.33317e-05  0.000488396
         123            0            0            0            0  4.61589e-13 -2.02505e-13 -4.14793e-13  1.77636e-15  0.000518131 -0.000169759  3.33317e-05  0.000488396
         124            0            0            0            0  4.81959e-13 -2.41585e-13 -4.16944e-13  8.88178e-15  0.000529307 -0.000169148  9.97565e-05  0.000491532
         125            0            0            0            0  2.79295e-13 -1.66978e-13 -2.23821e-13  5.32907e-15  0.000550311 -0.000165583  0.000165583  0.000498002
         126            0            0            0            0  1.70542e-13 -5.68434e-14 -1.58096e-13  2.93099e-14   0.00043074 -0.000157846 -0.000157846  0.000368382
         127            0            0            0            0  3.35349e-13 -1.61648e-13 -2.93043e-13 -2.13163e-14  0.000405528 -0.000161599 -9.50486e-05  0.000359589
         128            0            0            0            0  3.64512e-13 -1.82965e-13 -3.15262e-13 -1.77636e-15  0.000392299 -0.000161389 -3.17374e-05  0.000356153
         129            0            0            0            0  3.63889e-13 -1.72307e-13 -3.19675e-13  2.30926e-14  0.000392299 -0.000161389  3.17374e-05  0.000356153
         130            0            0            0            0  3.95101e-13 -2.17604e-13 -3.28626e-13  2.75335e-14  0.000405528 -0.000161599  9.50486e-05  0.000359589
         131            0            0            0            0  2.08677e-13 -1.06581e-13 -1.78524e-13 -1.77636e-14   0.00043074 -0.000157846  0.000157846  0.000368382
         132            0            0            0            0  1.24145e-13  -5.9508e-14 -1.08136e-13  1.33227e-14  0.000320744 -0.000145338 -0.000145338  0.000246233
         133            0            0            0            0   2.6629e-13 -1.22569e-13  -2.3595e-13  1.46549e-14   0.00029127 -0.000147655 -8.71931e-05  0.000235443
         134            0            0            0            0  2.73986e-13 -1.47438e-13 -2.29518e-13  2.55351e-14  0.000276171  -0.00014636 -2.90323e-05  0.000232393
         135            0            0            0            0  2.65988e-13 -1.48326e-13  -2.2049e-13  1.15463e-14  0.000276171  -0.00014636  2.90323e-05  0.000232393
         136            0            0            0            0  2.79329e-13  -1.5099e-13 -2.34035e-13  2.13163e-14   0.00029127 -0.000147655  8.71931e-05  0.000235443
         137            0            0            0            0  1.38155e-13 -7.19425e-14  -1.1724e-13 -1.28786e-14  0.000320744 -0.000145338  0.000145338  0.000246233
         138            0            0            0            0  8.90068e-14 -5.06262e-14 -7.07906e-14  1.86517e-14  0.000222067  -0.00012443  -0.00012443  0.000135454
         139            0            0            0            0  1.81848e-13 -1.01696e-13 -1.49949e-13  1.55431e-14  0.000189313 -0.000121795 -7.38133e-05  0.000124727
         140            0            0            0            0  1.68786e-13  -8.9484e-14 -1.41449e-13  2.17604e-14   0.00017382 -0.000120407 -2.43861e-05  0.000122967
         141            0            0            0            0   1.6895e-13 -1.00697e-13 -1.34115e-13  2.04281e-14   0.00017382 -0.000120407  2.43861e-05  0.000122967
         142            0            0            0            0   1.6863e-13 -9.10383e-14 -1.40721e-13  1.85962e-14  0.000189313 -0.000121795  7.38133e-05  0.000124727
         143            0            0            0            0   7.6564e-14 -3.64153e-14 -6.72726e-14 -3.21965e-15  0.000222067  -0.00012443   0.00012443  0.000135454
         144            0            0            0            0  5.20229e-14 -3.86358e-14 -3.33067e-14  1.02141e-14  0.000128133 -8.49855e-05 -8.49855e-05  4.44193e-05
         145            0            0            0            0  8.75837e-14 -4.26326e-14  -7.5176e-14  1.42109e-14  9.73608e-05 -7.49947e-05  -4.8803e-05   3.8382e-05
         146            0            0            0            0  8.76611e-14 -4.70735e-14 -7.37882e-14 -4.88498e-15  8.76149e-05 -7.72613e-05 -1.58265e-05  3.81652e-05
         147            0            0            0            0   7.7111e-14 -5.07372e-14 -5.78426e-14  5.10703e-15  8.76149e-05 -7.72613e-05  1.58265e-05  3.81652e-05
         148            0            0            0            0  7.10279e-14 -4.88498e-14 -4.84057e-14  1.77636e-14  9.73608e-05 -7.49947e-05   4.8803e-05   3.8382e-05
         149            0            0            0            0  2.53948e-14 -6.21725e-15 -2.44249e-14 -3.10862e-15  0.000128133 -8.49855e-05  8.49855e-05  4.44193e-05
         150            0            0            0            0            0            0            0            0            0            0            0            0
         151            0            0            0            0            0            0            0            0            0            0            0            0
         152            0            0            0            0            0            0            0            0            0            0            0            0
         153            0            0            0            0            0            0            0            0            0            0            0            0
         154            0            0            0            0            0            0            0            0            0            0            0            0
         155            0            0            0            0            0            0            0            0            0            0            0            0
         156            1            0            0            1            1 -1.42109e-13 -2.13163e-13            1   0.00342099 -0.000141813 -0.000182032    0.0034132
         157            1            0            0            1            1 -2.34479e-13 -5.54223e-13            1   0.00334773 -0.000114602 -0.000114602   0.00334381
         158            1            0            0            1            1 -2.84217e-13 -5.68434e-13            1   0.00332233 -9.76981e-05 -3.94992e-05   0.00332066
         159            1            0            0            1            1 -3.41061e-13 -5.25247e-13            1   0.00332233 -9.76981e-05  3.94992e-05   0.00332066
         160            1            0            0            1            1 -2.84217e-13 -5.19584e-13            1   0.00334773 -0.000114602  0.000114602   0.00334381
         161            1            0            0            1            1  -1.7053e-13 -2.41585e-13            1   0.00342099 -0.000141813  0.000182032    0.0034132
         162            0            0            0            0  5.71711e-13 -1.98952e-13  -4.1922e-13  3.33955e-13   0.00325331 -0.000116923 -0.000174297   0.00324654
         163            0            0            0            0  9.78074e-13 -5.40012e-13 -7.53175e-13  3.12639e-13   0.00320706 -0.000103462 -0.000103462   0.00320372
         164            0            0            0            0  9.39207e-13 -5.68434e-13 -7.38964e-13  1.13687e-13   0.00318339 -9.75382e-05 -3.42973e-05   0.00318171
         165            0            0            0            0  8.68177e-13 -5.11591e-13 -7.00856e-13 -2.84217e-14   0.00318339 -9.75382e-05  3.42973e-05   0.00318171
         166            0            0            0            0  9.46575e-13 -3.97904e-13 -6.89893e-13 -5.11591e-13   0.00320706 -0.000103462  0.000103462   0.00320372
         167            0            0            0            0  5.62362e-13 -2.70006e-13  -3.2685e-13 -3.69482e-13   0.00325331 -0.000116923  0.000174297   0.00324654
         168            0            0            0            0  4.43506e-13  -9.9476e-14 -2.98428e-13  3.12639e-13   0.00309385 -0.000113799 -0.000175478   0.00308677
         169            0            0            0            0  7.51395e-13 -2.55795e-13 -4.87277e-13  5.11591e-13   0.00306604 -0.000104182 -0.000104182    0.0030625
         170            0            0            0            0  6.25426e-13 -4.54747e-13 -3.80501e-13  1.98952e-13   0.00304639 -9.84543e-05 -3.44079e-05    0.0030446
         171            0            0            0            0  5.08981e-13 -3.41061e-13 -3.77809e-13            0   0.00304639 -9.84543e-05  3.44079e-05    0.0030446
         172            0            0            0            0  5.10306e-13 -3.41061e-13 -3.75311e-13 -5.68434e-14   0.00306604 -0.000104182  0.000104182    0.0030625
         173            0            0            0            0  2.75925e-13 -1.27898e-13 -1.42109e-13 -1.98952e-13   0.00309385 -0.000113799  0.000175478   0.00308677
         174            0            0            0            0  2.57762e-13  1.42109e-14 -2.84217e-14  2.55795e-13   0.00294025  -0.00011069 -0.000176492   0.00293286
         175            0            0            0            0  3.11058e-13  2.84217e-14 -1.74694e-13  2.55795e-13   0.00292336 -0.000104722 -0.000104722    0.0029196
         176            0            0            0            0  2.73849e-13 -1.13687e-13 -2.21684e-13 -1.13687e-13   0.00290896 -0.000100417 -3.45632e-05   0.00290702
